               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10992,            0.050827,            0.062228,            0.010163,            0.065359,           0.0054311,           0.0023778,             0.11464,            0.043996,            0.048681,              0.0946,              0.0006,              0.0006
                   1,             0.10663,            0.055551,            0.056821,            0.010295,            0.098039,            0.006728,           0.0027592,             0.10995,            0.042991,            0.036215,            0.088287,           0.0012871,           0.0012871
                   2,            0.092042,            0.047042,            0.037608,             0.10194,            0.078431,            0.032071,            0.011227,            0.095573,            0.043743,            0.029709,             0.08196,           0.0019604,           0.0019604
                   3,            0.090935,            0.051506,            0.029018,             0.31831,             0.21569,             0.16969,            0.059789,            0.079016,            0.039086,             0.01338,             0.07562,           0.0026198,           0.0026198
                   4,            0.082071,            0.041738,            0.019234,             0.32281,             0.24837,             0.21661,              0.0723,            0.073195,            0.034299,            0.005989,            0.069265,           0.0032654,           0.0032654
                   5,            0.071516,            0.040639,            0.011956,             0.31091,             0.30719,             0.21932,            0.061671,            0.071817,            0.033586,           0.0054567,            0.062897,            0.003897,            0.003897
                   6,            0.067234,            0.030853,           0.0093703,             0.24849,             0.26144,             0.15195,            0.048819,            0.076339,            0.038829,           0.0084299,            0.056515,           0.0045149,           0.0045149
                   7,            0.070293,            0.029775,           0.0078419,             0.38108,             0.35294,             0.26923,            0.089198,            0.069075,             0.03328,           0.0038847,            0.050119,           0.0051188,           0.0051188
                   8,            0.068518,            0.034082,           0.0062522,             0.44113,             0.34641,             0.31299,            0.078823,            0.069264,            0.031577,           0.0022776,            0.043709,            0.005709,            0.005709
                   9,            0.066802,            0.037612,           0.0059317,             0.35729,             0.37908,              0.2948,            0.059447,            0.072514,            0.030322,           0.0018948,            0.037285,           0.0062852,           0.0062852
                  10,            0.068291,            0.034001,           0.0054404,             0.31154,             0.47026,             0.24636,            0.061444,            0.071574,            0.027933,            0.001468,            0.030848,           0.0068476,           0.0068476
                  11,            0.068145,            0.029737,           0.0034971,             0.32118,             0.40822,             0.31594,            0.080971,            0.070021,             0.02561,          0.00076444,            0.024396,           0.0073961,           0.0073961
                  12,             0.07239,            0.029246,           0.0038684,             0.23055,             0.49673,             0.23596,            0.069964,            0.074742,             0.02387,          0.00079563,            0.017931,           0.0079308,           0.0079308
                  13,            0.075562,            0.029937,           0.0032616,             0.23055,             0.49673,             0.23596,            0.069964,            0.074742,             0.02387,          0.00079563,            0.011452,           0.0084516,           0.0084516
                  14,            0.076984,            0.030613,           0.0042745,             0.22466,             0.47712,             0.24112,            0.072678,            0.075471,            0.022904,          0.00094801,            0.008614,            0.008614,            0.008614
                  15,            0.069002,            0.032317,           0.0031325,             0.43094,             0.65335,             0.47818,             0.15138,            0.061387,            0.024672,           0.0011548,            0.008614,            0.008614,            0.008614
                  16,            0.066346,            0.028265,           0.0028782,             0.36188,             0.47059,             0.38951,             0.11425,            0.065552,            0.022983,           0.0013801,            0.008515,            0.008515,            0.008515
                  17,            0.066208,            0.033478,           0.0033107,             0.50784,              0.4902,             0.49779,             0.16471,            0.058349,            0.023619,           0.0013114,            0.008416,            0.008416,            0.008416
                  18,            0.067048,            0.029729,           0.0027504,              0.3438,             0.43791,             0.33136,            0.099758,            0.067495,            0.022015,           0.0014092,            0.008317,            0.008317,            0.008317
                  19,            0.063305,            0.024853,           0.0023364,             0.46126,             0.51634,             0.46241,             0.17347,             0.06182,            0.023483,           0.0016341,            0.008218,            0.008218,            0.008218
                  20,            0.068939,            0.033768,           0.0026178,             0.39667,              0.4902,             0.39464,             0.12582,            0.066008,            0.023854,           0.0022536,            0.008119,            0.008119,            0.008119
                  21,             0.06821,            0.028201,           0.0024833,             0.39667,              0.4902,             0.39464,             0.12582,            0.066008,            0.023854,           0.0022536,             0.00802,             0.00802,             0.00802
                  22,            0.070024,            0.028651,            0.002761,             0.38969,             0.42484,             0.37209,              0.1108,            0.070709,             0.02385,           0.0025128,            0.007921,            0.007921,            0.007921
                  23,             0.06827,            0.031405,           0.0032717,             0.49882,             0.55556,             0.48408,             0.13953,            0.063366,            0.026126,           0.0019123,            0.007822,            0.007822,            0.007822
                  24,            0.061597,            0.026661,           0.0027021,             0.60985,             0.57213,             0.58275,              0.1899,             0.05744,            0.026423,           0.0018297,            0.007723,            0.007723,            0.007723
                  25,            0.059636,             0.02749,           0.0024614,             0.54461,             0.57061,             0.50339,             0.18575,            0.058574,             0.02635,           0.0017591,            0.007624,            0.007624,            0.007624
                  26,            0.067319,            0.029345,           0.0024986,             0.21866,             0.30719,               0.141,            0.032962,            0.080627,            0.023707,           0.0017017,            0.007525,            0.007525,            0.007525
                  27,            0.065289,            0.030922,            0.002737,              0.5839,             0.49673,             0.51998,             0.17639,             0.05828,            0.025138,           0.0020886,            0.007426,            0.007426,            0.007426
                  28,            0.054633,            0.025976,           0.0024177,             0.33488,              0.4902,             0.30537,            0.095403,            0.069316,            0.023893,           0.0021633,            0.007327,            0.007327,            0.007327
                  29,            0.064379,             0.03007,           0.0021872,             0.33488,              0.4902,             0.30537,            0.095403,            0.069316,            0.023893,           0.0021633,            0.007228,            0.007228,            0.007228
                  30,            0.068264,            0.028715,           0.0025151,             0.41472,             0.37255,             0.30845,            0.094629,            0.069671,            0.024418,           0.0023078,            0.007129,            0.007129,            0.007129
                  31,            0.058262,              0.0272,           0.0020593,             0.56519,             0.40782,             0.43338,              0.1331,            0.064049,            0.025142,           0.0022835,             0.00703,             0.00703,             0.00703
                  32,            0.064949,            0.028987,           0.0020576,             0.42842,             0.48366,             0.42158,             0.14379,            0.066853,            0.025368,           0.0023342,            0.006931,            0.006931,            0.006931
                  33,            0.061981,            0.026343,           0.0020053,             0.42309,             0.46405,             0.39103,             0.11523,            0.066924,             0.02485,           0.0022851,            0.006832,            0.006832,            0.006832
                  34,            0.060593,            0.027413,           0.0019664,             0.54768,             0.48366,             0.49569,             0.17398,            0.059778,              0.0255,           0.0021795,            0.006733,            0.006733,            0.006733
                  35,            0.059769,            0.026567,           0.0021292,             0.54548,             0.49673,             0.50252,             0.16519,            0.060658,            0.023804,           0.0020793,            0.006634,            0.006634,            0.006634
                  36,            0.057586,            0.023675,           0.0018863,             0.50327,             0.53638,             0.47353,             0.16957,            0.059835,            0.024177,           0.0018989,            0.006535,            0.006535,            0.006535
                  37,            0.060203,            0.026434,           0.0019826,             0.50327,             0.53638,             0.47353,             0.16957,            0.059835,            0.024177,           0.0018989,            0.006436,            0.006436,            0.006436
                  38,            0.059779,             0.02683,           0.0020322,             0.56027,             0.53298,             0.51104,             0.17308,            0.059202,            0.024074,           0.0018206,            0.006337,            0.006337,            0.006337
                  39,            0.058229,            0.028448,           0.0019741,             0.62162,             0.51542,             0.54481,             0.16151,            0.059271,            0.024385,           0.0019282,            0.006238,            0.006238,            0.006238
                  40,            0.060077,            0.029145,           0.0019117,             0.57681,             0.56863,             0.56869,             0.17157,             0.05838,            0.023699,           0.0016128,            0.006139,            0.006139,            0.006139
                  41,            0.059253,            0.026147,           0.0017679,             0.49236,             0.59477,             0.49291,             0.14697,            0.065829,            0.023411,           0.0016193,             0.00604,             0.00604,             0.00604
